"","rowname","Estimate.x","Std. Error.x","z-value.x","Pr(>|z|).x","model.x","Estimate.y","Std. Error.y","z-value.y","Pr(>|z|).y","model.y","Estimate.x.x","Std. Error.x.x","z-value.x.x","Pr(>|z|).x.x","model.x.x","Estimate.y.y","Std. Error.y.y","z-value.y.y","Pr(>|z|).y.y","model.y.y","Estimate.x.x.x","Std. Error.x.x.x","z-value.x.x.x","Pr(>|z|).x.x.x","model.x.x.x","Estimate.y.y.y","Std. Error.y.y.y","z-value.y.y.y","Pr(>|z|).y.y.y","model.y.y.y","Estimate.x.x.x.x","Std. Error.x.x.x.x","z-value.x.x.x.x","Pr(>|z|).x.x.x.x","model.x.x.x.x","Estimate.y.y.y.y","Std. Error.y.y.y.y","z-value.y.y.y.y","Pr(>|z|).y.y.y.y","model.y.y.y.y"
"1","(Intercept)",3.69249048031402,0.0134441832579927,274.653387971247,0,"m1",3.69631836224268,0.0155711045298857,237.383183392566,0,"m2",3.65979291662144,0.0250791418757372,145.929750497648,0,"m3",3.69424027241758,0.0155678101719085,237.299930537673,0,"m4",3.69362168696629,0.0155610596696773,237.363120852481,0,"m5",3.69675397595503,0.015269927942729,242.093740705259,0,"m6",3.69682197614128,0.0152247764245453,242.816174967356,0,"m7",3.87920567713441,0.0181501299578827,213.728809993984,0,"m8"
"2","z.lag.ya.rate",-0.0622590241542927,0.0036996652305254,-16.8282858785715,0.00000000000000000000000000000000000000000000000000000000000000151422689280541,"m1",-0.0584501119876036,0.003911926661149,-14.9415152814843,0.0000000000000000000000000000000000000000000000000176906299480085,"m2",-0.0580260522000538,0.00392397354757402,-14.7875747623039,0.000000000000000000000000000000000000000000000000176188689053604,"m3",-0.0258477981490936,0.00393614995602618,-6.56677170277037,0.0000000000514177850593352,"m4",-0.00388292220658165,0.00400488481355764,-0.969546538126862,0.332272572313524,"m5",-0.0188386764643021,0.00402483991233962,-4.68060267603322,0.00000286032812552788,"m6",-0.0186657251682959,0.00403658030992511,-4.62414314473089,0.00000376150048761614,"m7",-0.0221829746561648,0.00371466276860842,-5.97173311225636,0.00000000234746331574078,"m8"
"3","z.homicides",NA,NA,NA,NA,NA,0.0100734474277549,0.00391498345031371,2.57304981121891,0.0100806698191021,"m2",0.010329178955075,0.00392264265408692,2.6332194558465,0.00845796775558618,"m3",0.0110094615816862,0.00380009990153214,2.89715056629099,0.00376568979217084,"m4",0.00749483241541265,0.00376282362760472,1.99181071374945,0.0463918302930168,"m5",0.00864987869449721,0.00381632764462948,2.26654509254984,0.0234180295483064,"m6",0.00877635881661385,0.00382327748810044,2.29550662852209,0.0217041069781571,"m7",0.00285580362650912,0.003608170234678,0.791482507965419,0.428662479590056,"m8"
"4","z.black",NA,NA,NA,NA,NA,0.0206002125773018,0.00395834909485057,5.20424350750183,0.000000194788453614341,"m2",0.0205589170317311,0.00396355383146154,5.18699074263616,0.000000213719350268268,"m3",0.0120515129448028,0.00385183512687474,3.12877175368122,0.00175538605916982,"m4",0.0118735865239439,0.00384828593150699,3.08542211656664,0.00203263450656821,"m5",0.00709118937828187,0.00384619194809727,1.8436909738189,0.0652281892147348,"m6",0.00748621615500868,0.00390061657034148,1.91923918180794,0.0549540709453662,"m7",NA,NA,NA,NA,NA
"5","z.lag.ya.rate:z.black",NA,NA,NA,NA,NA,-0.0142058709572489,0.00445464150259252,-3.18900431134163,0.00142763748412196,"m2",-0.0142872838293966,0.00446033197957014,-3.20318843862684,0.00135915015879241,"m3",-0.00705660468807057,0.00433226503621883,-1.6288487959706,0.103345031929219,"m4",-0.00224111043676087,0.00426556116325923,-0.525396390061016,0.599307662512311,"m5",NA,NA,NA,NA,NA,-0.00265809932483911,0.0043697006238924,-0.60830238810991,0.542986937444048,"m7",NA,NA,NA,NA,NA
"6","disadvantage.scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013564742155491,0.00735135812788181,1.84520219523021,0.0650081313003646,"m3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","disadvantage.score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.207234473592304,0.00659575432920351,-31.4193742290777,1.10033547161501e-216,"m4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","z.median.income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0552784210820469,0.00613972522631332,9.0034030912552,0.000000000000000000218827152658572,"m5",0.11534135912888,0.00510384813902711,22.5989010619087,4.44291063338068e-113,"m6",0.1152327072461,0.00511031395558775,22.5490465453892,1.37209542534103e-112,"m7",NA,NA,NA,NA,NA
"9","z.single.parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0224976944378943,0.00391872479248291,5.74107538274964,0.00000000940771977602869,"m5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","z.poverty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0129571352523948,0.0043498144402986,-2.97877884912841,0.00289399569108039,"m5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
