"","rowname","Estimate.x","Std. Error.x","z-value.x","Pr(>|z|).x","model.x","Estimate.y","Std. Error.y","z-value.y","Pr(>|z|).y","model.y","Estimate.x.x","Std. Error.x.x","z-value.x.x","Pr(>|z|).x.x","model.x.x","Estimate.y.y","Std. Error.y.y","z-value.y.y","Pr(>|z|).y.y","model.y.y"
"1","(Intercept)",3.18026512737949,0.0287835550465421,110.488962264637,0,"Advantaged",2.97397626160133,0.138534949815139,21.4673356114815,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000314542251504699,"Advantaged",4.36562831451809,0.0382722894596932,114.067602857044,0,"Disadvantaged",4.36562831451809,0.0382722894596932,114.067602857044,0,"Disadvantaged"
"2","z.lag.ya.rate",0.00274673098407996,0.013096338504659,0.209732741949425,0.833876269453134,"Advantaged",-0.0113561353450513,0.012790195032522,-0.887878200150641,0.374606272255257,"Advantaged",-0.0146807194333333,0.0149339480945649,-0.983043421630491,0.325586068390236,"Disadvantaged",-0.0146807194333333,0.0149339480945649,-0.983043421630491,0.325586068390236,"Disadvantaged"
"3","z.homicides",-0.0295126765328314,0.0113831930025856,-2.59265361890357,0.00952386372165517,"Advantaged",-0.0200638474221025,0.0111387715523146,-1.80126213450649,0.0716615730485093,"Advantaged",0.00169613890489753,0.0133753401485638,0.126810898717941,0.899090069452863,"Disadvantaged",0.00169613890489753,0.0133753401485638,0.126810898717941,0.899090069452863,"Disadvantaged"
"4","z.black",0.0152598582573487,0.0142247896588361,1.07276512506247,0.283376511989413,"Advantaged",0.0445310161581273,0.0136970037918132,3.25115016648705,0.00114939131242339,"Advantaged",0.0201884947444391,0.015000780505533,1.34582962113156,0.178357470221284,"Disadvantaged",0.0201884947444391,0.015000780505533,1.34582962113156,0.178357470221284,"Disadvantaged"
"5","disadvantage.score",-0.223480921540542,0.0257435702240979,-8.68103839502988,0.00000000000000000392171722944367,"Advantaged",NA,NA,NA,NA,NA,-0.0344191909091471,0.0278554516582479,-1.23563571438109,0.216594003023261,"Disadvantaged",-0.0344191909091471,0.0278554516582479,-1.23563571438109,0.216594003023261,"Disadvantaged"
"6","z.lag.ya.rate:z.black",0.012538581811339,0.0137913008218332,0.909166000605902,0.363262508012192,"Advantaged",0.00370469650400751,0.0136097702352437,0.27220860014329,0.785461629481194,"Advantaged",-0.00965209262858791,0.0155975913634741,-0.61881943203044,0.536035319361291,"Disadvantaged",-0.00965209262858791,0.0155975913634741,-0.61881943203044,0.536035319361291,"Disadvantaged"
"7","disadvantage.scale",NA,NA,NA,NA,NA,0.083392064744985,0.0445124731525308,1.87345386222926,0.0610057381804782,"Advantaged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
